Time (s),Timestamp,ECG (uV),Packet Counter(DIGITAL),TRIGGER(DIGITAL)
3417.268,2025-12-16 10:33:05.059,-10088.539274,8,0
3417.27,2025-12-16 10:33:05.061,-13440.513811,9,0
3417.272,2025-12-16 10:33:05.063,-14967.727884,10,0
3417.274,2025-12-16 10:33:05.065,-14147.758695,11,0
3417.276,2025-12-16 10:33:05.067,-11156.463789,12,0
3417.278,2025-12-16 10:33:05.069,-13222.122389,13,0
3417.28,2025-12-16 10:33:05.071,-14408.111787,14,0
3417.282,2025-12-16 10:33:05.073,-13056.373791,15,0
3417.284,2025-12-16 10:33:05.075,-8693.504463,16,0
3417.286,2025-12-16 10:33:05.077,-11845.779595,17,0
3417.288,2025-12-16 10:33:05.079,-14360.42807,18,0
3417.29,2025-12-16 10:33:05.081,-13865.471093,19,0
3417.292,2025-12-16 10:33:05.083,-11580.276662,20,0
3417.294,2025-12-16 10:33:05.085,-14187.050077,21,0
3417.296,2025-12-16 10:33:05.087,-14939.689859,22,0
3417.298,2025-12-16 10:33:05.089,-13631.630147,23,0
3417.3,2025-12-16 10:33:05.091,-9145.164626,24,0
3417.302,2025-12-16 10:33:05.093,-11269.569565,25,0
3417.304,2025-12-16 10:33:05.095,-13801.002708,26,0
3417.306,2025-12-16 10:33:05.097,-13114.35719,27,0
3417.308,2025-12-16 10:33:05.099,-10049.057157,28,0
3417.31,2025-12-16 10:33:05.101,-13404.846391,29,0
3417.312,2025-12-16 10:33:05.103,-14942.932352,30,0
3417.314,2025-12-16 10:33:05.105,-14092.636318,31,0
3417.316,2025-12-16 10:33:05.107,-10939.026042,32,0
3417.318,2025-12-16 10:33:05.109,-12998.581126,33,0
3417.32,2025-12-16 10:33:05.111,-14330.673431,34,0
3417.322,2025-12-16 10:33:05.113,-13012.886241,35,0
3417.324,2025-12-16 10:33:05.115,-8651.733527,36,0
3417.326,2025-12-16 10:33:05.117,-11856.651483,37,0
3417.328,2025-12-16 10:33:05.119,-14369.774079,38,0
3417.33,2025-12-16 10:33:05.121,-13872.909753,39,0
3417.332,2025-12-16 10:33:05.123,-11588.096791,40,0
3417.334,2025-12-16 10:33:05.125,-14171.219083,41,0
3417.336,2025-12-16 10:33:05.127,-14932.632669,42,0
3417.338,2025-12-16 10:33:05.129,-13618.469441,43,0
3417.34,2025-12-16 10:33:05.131,-9140.777724,44,0
3417.342,2025-12-16 10:33:05.133,-11307.144334,45,0
3417.344,2025-12-16 10:33:05.135,-13828.659264,46,0
3417.346,2025-12-16 10:33:05.137,-13155.555921,47,0
3417.348,2025-12-16 10:33:05.139,-10154.533538,48,0
3417.35,2025-12-16 10:33:05.141,-13476.371966,49,0
3417.352,2025-12-16 10:33:05.143,-14965.629801,50,0
3417.354,2025-12-16 10:33:05.145,-14113.617154,51,0
3417.356,2025-12-16 10:33:05.147,-10960.769817,52,0
3417.358,2025-12-16 10:33:05.149,-13002.968028,53,0
3417.36,2025-12-16 10:33:05.151,-14330.291962,54,0
3417.362,2025-12-16 10:33:05.153,-13030.433849,55,0
3417.364,2025-12-16 10:33:05.155,-8750.724923,56,0
3417.366,2025-12-16 10:33:05.157,-11975.860774,57,0
3417.368,2025-12-16 10:33:05.159,-14424.896455,58,0
3417.37,2025-12-16 10:33:05.161,-13923.645227,59,0
3417.372,2025-12-16 10:33:05.163,-11695.480521,60,0
3417.374,2025-12-16 10:33:05.165,-14236.450407,61,0
3417.376,2025-12-16 10:33:05.167,-14930.916055,62,0
3417.378,2025-12-16 10:33:05.169,-13592.338765,63,0
3417.38,2025-12-16 10:33:05.171,-9103.77516,64,0
3417.382,2025-12-16 10:33:05.173,-11310.005357,65,0
3417.384,2025-12-16 10:33:05.175,-13844.108788,66,0
3417.386,2025-12-16 10:33:05.177,-13182.258802,67,0
3417.388,2025-12-16 10:33:05.179,-10193.44345,68,0
3417.39,2025-12-16 10:33:05.181,-13500.023089,69,0
3417.392,2025-12-16 10:33:05.183,-14982.795939,70,0
3417.394,2025-12-16 10:33:05.185,-14106.559964,71,0
3417.396,2025-12-16 10:33:05.187,-10846.710367,72,0
3417.398,2025-12-16 10:33:05.189,-12825.012398,73,0
3417.4,2025-12-16 10:33:05.191,-14279.175017,74,0
3417.402,2025-12-16 10:33:05.193,-13019.561962,75,0
3417.404,2025-12-16 10:33:05.195,-8750.152718,76,0
3417.406,2025-12-16 10:33:05.197,-12001.419246,77,0
3417.408,2025-12-16 10:33:05.199,-14441.490389,78,0
3417.41,2025-12-16 10:33:05.201,-13940.811365,79,0
3417.412,2025-12-16 10:33:05.203,-11737.823661,80,0
3417.414,2025-12-16 10:33:05.205,-14251.518462,81,0
3417.416,2025-12-16 10:33:05.207,-14920.425637,82,0
3417.418,2025-12-16 10:33:05.209,-13565.635883,83,0
3417.42,2025-12-16 10:33:05.211,-9072.876112,84,0
3417.422,2025-12-16 10:33:05.213,-11314.964463,85,0
3417.424,2025-12-16 10:33:05.215,-13853.454796,86,0
3417.426,2025-12-16 10:33:05.217,-13210.487563,87,0
3417.428,2025-12-16 10:33:05.219,-10318.756257,88,0
3417.43,2025-12-16 10:33:05.221,-13599.395955,89,0
3417.432,2025-12-16 10:33:05.223,-15002.250895,90,0
3417.434,2025-12-16 10:33:05.225,-14122.009488,91,0
3417.436,2025-12-16 10:33:05.227,-10925.102397,92,0
3417.438,2025-12-16 10:33:05.229,-12960.434153,93,0
3417.44,2025-12-16 10:33:05.231,-14320.183014,94,0
3417.442,2025-12-16 10:33:05.233,-13041.496471,95,0
3417.444,2025-12-16 10:33:05.235,-8851.051462,96,0
3417.446,2025-12-16 10:33:05.237,-12127.876462,97,0
3417.448,2025-12-16 10:33:05.239,-14508.819796,98,0
3417.45,2025-12-16 10:33:05.241,-13991.928309,99,0
3417.452,2025-12-16 10:33:05.243,-11787.605461,100,0
3417.454,2025-12-16 10:33:05.245,-14270.210479,101,0
3417.456,2025-12-16 10:33:05.247,-14934.540017,102,0
3417.458,2025-12-16 10:33:05.249,-13602.829182,103,0
3417.46,2025-12-16 10:33:05.251,-9116.935866,104,0
3417.462,2025-12-16 10:33:05.253,-11331.939866,105,0
3417.464,2025-12-16 10:33:05.255,-13879.966943,106,0
3417.466,2025-12-16 10:33:05.257,-13257.217605,107,0
3417.468,2025-12-16 10:33:05.259,-10451.698459,108,0
3417.47,2025-12-16 10:33:05.261,-13709.831442,109,0
3417.472,2025-12-16 10:33:05.263,-15032.005534,110,0
3417.474,2025-12-16 10:33:05.265,-14124.107571,111,0
3417.476,2025-12-16 10:33:05.267,-10850.143594,112,0
3417.478,2025-12-16 10:33:05.269,-12813.377571,113,0
3417.48,2025-12-16 10:33:05.271,-14264.488433,114,0
3417.482,2025-12-16 10:33:05.273,-13023.567394,115,0
3417.484,2025-12-16 10:33:05.275,-8855.24763,116,0
3417.486,2025-12-16 10:33:05.277,-12149.620237,117,0
3417.488,2025-12-16 10:33:05.279,-14488.6019,118,0
3417.49,2025-12-16 10:33:05.281,-13960.838526,119,0
3417.492,2025-12-16 10:33:05.283,-11724.090751,120,0
3417.494,2025-12-16 10:33:05.285,-14192.581388,121,0
3417.496,2025-12-16 10:33:05.287,-14875.984414,122,0
3417.498,2025-12-16 10:33:05.289,-13506.69881,123,0
3417.5,2025-12-16 10:33:05.291,-8970.832958,124,0
3417.502,2025-12-16 10:33:05.293,-11260.986496,125,0
3417.504,2025-12-16 10:33:05.295,-13844.680992,126,0
3417.506,2025-12-16 10:33:05.297,-13231.277663,127,0
3417.508,2025-12-16 10:33:05.299,-10396.576083,0,0
3417.51,2025-12-16 10:33:05.301,-13628.006185,1,0
3417.512,2025-12-16 10:33:05.303,-14980.12565,2,0
3417.514,2025-12-16 10:33:05.305,-14048.576564,3,0
3417.516,2025-12-16 10:33:05.307,-10650.825659,4,0
3417.518,2025-12-16 10:33:05.309,-12666.893194,5,0
3417.52,2025-12-16 10:33:05.311,-14193.535063,6,0
3417.522,2025-12-16 10:33:05.313,-12950.89741,7,0
3417.524,2025-12-16 10:33:05.315,-8776.47413,8,0
3417.526,2025-12-16 10:33:05.317,-12125.396909,9,0
3417.528,2025-12-16 10:33:05.319,-14506.912448,10,0
3417.53,2025-12-16 10:33:05.321,-13958.549708,11,0
3417.532,2025-12-16 10:33:05.323,-11631.393606,12,0
3417.534,2025-12-16 10:33:05.325,-14105.797024,13,0
3417.536,2025-12-16 10:33:05.327,-14853.668434,14,0
3417.538,2025-12-16 10:33:05.329,-13494.873248,15,0
3417.54,2025-12-16 10:33:05.331,-8898.353709,16,0
3417.542,2025-12-16 10:33:05.333,-11198.04399,17,0
3417.544,2025-12-16 10:33:05.335,-13850.212304,18,0
3417.546,2025-12-16 10:33:05.337,-13258.362014,19,0
3417.548,2025-12-16 10:33:05.339,-10465.0499,20,0
3417.55,2025-12-16 10:33:05.341,-13677.978719,21,0
3417.552,2025-12-16 10:33:05.343,-15002.632365,22,0
3417.554,2025-12-16 10:33:05.345,-14053.917141,23,0
3417.556,2025-12-16 10:33:05.347,-10576.439061,24,0
3417.558,2025-12-16 10:33:05.349,-12543.678471,25,0
3417.56,2025-12-16 10:33:05.351,-14179.992887,26,0
3417.562,2025-12-16 10:33:05.353,-12986.18336,27,0
3417.564,2025-12-16 10:33:05.355,-8880.615367,28,0
3417.566,2025-12-16 10:33:05.357,-12239.456359,29,0
3417.568,2025-12-16 10:33:05.359,-14547.157504,30,0
3417.57,2025-12-16 10:33:05.361,-14013.481349,31,0
3417.572,2025-12-16 10:33:05.363,-11772.346672,32,0
3417.574,2025-12-16 10:33:05.365,-14195.823881,33,0
3417.576,2025-12-16 10:33:05.367,-14871.406777,34,0
3417.578,2025-12-16 10:33:05.369,-13498.49721,35,0
3417.58,2025-12-16 10:33:05.371,-8973.503247,36,0
3417.582,2025-12-16 10:33:05.373,-11318.206956,37,0
3417.584,2025-12-16 10:33:05.375,-13920.784204,38,0
3417.586,2025-12-16 10:33:05.377,-13350.677689,39,0
3417.588,2025-12-16 10:33:05.379,-10699.272315,40,0
3417.59,2025-12-16 10:33:05.381,-13845.062462,41,0
3417.592,2025-12-16 10:33:05.383,-15045.929179,42,0
3417.594,2025-12-16 10:33:05.385,-14082.718105,43,0
3417.596,2025-12-16 10:33:05.387,-10692.596595,44,0
3417.598,2025-12-16 10:33:05.389,-12678.337286,45,0
3417.6,2025-12-16 10:33:05.391,-14210.128996,46,0
3417.602,2025-12-16 10:33:05.393,-13003.921703,47,0
3417.604,2025-12-16 10:33:05.395,-8993.530407,48,0
3417.606,2025-12-16 10:33:05.397,-12373.352235,49,0
3417.608,2025-12-16 10:33:05.399,-14608.955601,50,0
3417.61,2025-12-16 10:33:05.401,-14052.963466,51,0
3417.612,2025-12-16 10:33:05.403,-11843.109307,52,0
3417.614,2025-12-16 10:33:05.405,-14233.207915,53,0
3417.616,2025-12-16 10:33:05.407,-14870.453102,54,0
3417.618,2025-12-16 10:33:05.409,-13494.301043,55,0
3417.62,2025-12-16 10:33:05.411,-8981.514111,56,0
